ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr PLIEZ Eric,Mr DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique
20-63,Municipales,2020,2,06/28/2020,6,79,20,63,11,1436,391,391,6,6,379,194,78,74,33
20-64,Municipales,2020,2,06/28/2020,6,79,20,64,26,1228,454,454,7,9,438,265,90,41,42
20-65,Municipales,2020,2,06/28/2020,6,79,20,65,33,1254,531,532,6,4,522,309,91,59,63
20-66,Municipales,2020,2,06/28/2020,6,79,20,66,15,1213,468,468,10,3,455,230,121,50,54
20-67,Municipales,2020,2,06/28/2020,6,79,20,67,27,1345,501,501,12,5,484,304,81,66,33
20-68,Municipales,2020,2,06/28/2020,6,79,20,68,23,1483,501,501,6,6,489,294,71,91,33
20-69,Municipales,2020,2,06/28/2020,6,79,20,69,27,1487,527,527,4,2,521,325,101,71,24
20-70,Municipales,2020,2,06/28/2020,6,77,20,70,36,1735,648,648,12,6,630,377,99,87,67
20-71,Municipales,2020,2,06/28/2020,6,77,20,71,45,1704,671,671,11,5,655,408,82,118,47
20-72,Municipales,2020,2,06/28/2020,6,77,20,72,32,1686,561,558,10,7,541,318,77,111,35
20-73,Municipales,2020,2,06/28/2020,6,77,20,73,38,1624,652,652,4,3,645,429,93,96,27
20-74,Municipales,2020,2,06/28/2020,6,77,20,74,34,1661,647,647,8,1,638,449,70,79,40
20-75,Municipales,2020,2,06/28/2020,6,77,20,75,16,1810,520,520,7,3,510,278,85,118,29
20-76,Municipales,2020,2,06/28/2020,6,77,20,76,18,1984,653,653,7,8,638,444,75,89,30
