ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mme BUZIN Agnés ,Mr BOULARD Geoffroy    ,Mme TAIEB Karen
17-44,Municipales,2020,2,06/28/2020,4,66,17,44,37,1545,567,570,11,3,556,74,368,114
17-45,Municipales,2020,2,06/28/2020,4,66,17,45,51,1552,593,593,4,2,587,90,381,116
17-46,Municipales,2020,2,06/28/2020,4,66,17,46,46,1535,560,561,4,4,553,76,322,155
17-47,Municipales,2020,2,06/28/2020,4,66,17,47,77,1481,624,624,5,4,615,95,426,94
17-48,Municipales,2020,2,06/28/2020,4,66,17,48,40,1381,515,515,7,2,506,82,349,75
17-49,Municipales,2020,2,06/28/2020,4,66,17,49,37,1391,616,617,0,6,611,71,438,102
17-50,Municipales,2020,2,06/28/2020,4,66,17,50,42,1460,597,597,3,1,593,83,410,100
17-51,Municipales,2020,2,06/28/2020,4,66,17,51,25,1421,572,572,4,1,567,84,385,98
17-52,Municipales,2020,2,06/28/2020,4,66,17,52,29,1525,598,598,10,3,585,63,407,115
17-53,Municipales,2020,2,06/28/2020,4,65,17,53,41,1567,634,634,6,3,625,65,437,123
17-54,Municipales,2020,2,06/28/2020,4,65,17,54,41,1586,631,631,6,6,619,80,412,127
17-55,Municipales,2020,2,06/28/2020,4,65,17,55,31,1640,625,625,5,3,617,110,412,95
17-56,Municipales,2020,2,06/28/2020,4,65,17,56,41,1730,610,610,5,5,600,81,365,154
17-57,Municipales,2020,2,06/28/2020,4,65,17,57,38,1505,476,474,6,6,462,37,298,127
17-58,Municipales,2020,2,06/28/2020,4,65,17,58,19,1474,494,494,7,6,481,52,321,108
17-59,Municipales,2020,2,06/28/2020,4,65,17,59,25,1533,512,512,8,1,503,70,343,90
17-60,Municipales,2020,2,06/28/2020,4,65,17,60,29,1454,543,543,10,0,533,71,346,116
17-61,Municipales,2020,2,06/28/2020,4,65,17,61,47,1478,579,579,6,1,572,83,411,78
17-62,Municipales,2020,2,06/28/2020,4,65,17,62,49,1473,620,620,11,8,601,98,381,122
17-63,Municipales,2020,2,06/28/2020,4,65,17,63,39,1492,517,517,4,2,511,72,324,115
17-64,Municipales,2020,2,06/28/2020,4,65,17,64,32,1491,574,575,6,2,567,87,388,92
17-65,Municipales,2020,2,06/28/2020,4,65,17,65,36,1383,532,533,6,4,523,88,333,102
17-66,Municipales,2020,2,06/28/2020,4,65,17,66,20,1644,563,563,8,3,552,81,352,119
17-67,Municipales,2020,2,06/28/2020,4,65,17,67,41,1615,584,584,2,0,582,88,371,123
