ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,Mr GREGOIRE Emmanuel,Mme MAZETIER Sandrine,Mme MONTANDON Valérie
12-55,Municipales,2020,2,06/28/2020,7,48,12,55,47,1485,649,649,11,6,632,413,63,156
12-56,Municipales,2020,2,06/28/2020,7,48,12,56,34,1476,630,630,7,8,615,410,79,126
12-57,Municipales,2020,2,06/28/2020,7,48,12,57,49,1519,587,587,13,2,572,375,69,128
12-58,Municipales,2020,2,06/28/2020,7,48,12,58,36,1443,621,621,10,13,598,378,74,146
12-59,Municipales,2020,2,06/28/2020,7,48,12,59,19,1249,527,527,7,3,517,322,46,149
12-60,Municipales,2020,2,06/28/2020,7,48,12,60,35,1389,511,512,10,7,495,316,57,122
12-61,Municipales,2020,2,06/28/2020,8,47,12,61,27,1486,609,609,12,10,587,315,57,215
12-62,Municipales,2020,2,06/28/2020,7,48,12,62,19,1411,600,600,8,6,586,399,64,123
12-63,Municipales,2020,2,06/28/2020,7,48,12,63,22,1350,494,494,11,8,475,277,44,154
12-64,Municipales,2020,2,06/28/2020,8,45,12,64,26,1276,527,527,5,4,518,277,83,158
